evaluation_id,filename,input_image_path,true_style,input_type,predicted_main_style,predicted_styles_threshold_fallback,recommendation_mode,allowed_styles,pants_style,pants_filename,pants_image_path,shoes_style,shoes_filename,shoes_image_path,tshirt_style,tshirt_filename,tshirt_image_path,jacket_style,jacket_filename,jacket_image_path
eval_06,gothic_jacket_rw_005.png,..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_005.png,gothic,jacket,gothic,formal + gothic,old_single_style,gothic,gothic,gothic_pants_014.png,..\dataset\cleaned\gothic\pants\gothic_pants_014.png,gothic,gothic_shoes_014.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_014.png,gothic,gothic_tshirt_014.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_014.png,,,
eval_06,gothic_jacket_rw_005.png,..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_005.png,gothic,jacket,gothic,formal + gothic,new_multi_style,formal + gothic,gothic,gothic_pants_034.png,..\dataset\cleaned\gothic\pants\gothic_pants_034.png,gothic,gothic_shoes_034.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_034.png,gothic,gothic_tshirt_034.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_034.png,,,
eval_07,gothic_pants_rw_001.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic,pants,gothic,gothic + streetwear,old_single_style,gothic,,,,gothic,gothic_shoes_014.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_014.png,gothic,gothic_tshirt_014.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_014.png,gothic,gothic_jacket_014.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_014.png
eval_07,gothic_pants_rw_001.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic,pants,gothic,gothic + streetwear,new_multi_style,gothic + streetwear,,,,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_08,gothic_pants_rw_005.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_005.png,gothic,pants,gothic,gothic + streetwear,old_single_style,gothic,,,,gothic,gothic_shoes_014.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_014.png,gothic,gothic_tshirt_014.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_014.png,gothic,gothic_jacket_014.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_014.png
eval_08,gothic_pants_rw_005.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_005.png,gothic,pants,gothic,gothic + streetwear,new_multi_style,gothic + streetwear,,,,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_09,sporty_tshirt_rw_003.png,..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_003.png,sporty,tshirt,streetwear,formal + sporty + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,streetwear,streetwear_shoes_014.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_014.png,,,,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_09,sporty_tshirt_rw_003.png,..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_003.png,sporty,tshirt,streetwear,formal + sporty + streetwear,new_multi_style,formal + sporty + streetwear,sporty,sporty_pants_024.png,..\dataset\cleaned\sporty\pants\sporty_pants_024.png,sporty,sporty_shoes_024.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_024.png,,,,sporty,sporty_jacket_024.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_024.png
eval_10,sporty_jacket_rw_004.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_004.png,sporty,jacket,formal,formal + sporty,old_single_style,formal,formal,formal_pants_014.png,..\dataset\cleaned\formal\pants\formal_pants_014.png,formal,formal_shoes_014.png,..\dataset\cleaned\formal\shoes\formal_shoes_014.png,formal,formal_tshirt_014.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_014.png,,,
eval_10,sporty_jacket_rw_004.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_004.png,sporty,jacket,formal,formal + sporty,new_multi_style,formal + sporty,sporty,sporty_pants_034.png,..\dataset\cleaned\sporty\pants\sporty_pants_034.png,sporty,sporty_shoes_034.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_034.png,sporty,sporty_tshirt_034.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_034.png,,,
eval_11,sporty_jacket_rw_005.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_005.png,sporty,jacket,formal,formal + sporty,old_single_style,formal,formal,formal_pants_014.png,..\dataset\cleaned\formal\pants\formal_pants_014.png,formal,formal_shoes_014.png,..\dataset\cleaned\formal\shoes\formal_shoes_014.png,formal,formal_tshirt_014.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_014.png,,,
eval_11,sporty_jacket_rw_005.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_005.png,sporty,jacket,formal,formal + sporty,new_multi_style,formal + sporty,sporty,sporty_pants_034.png,..\dataset\cleaned\sporty\pants\sporty_pants_034.png,sporty,sporty_shoes_034.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_034.png,sporty,sporty_tshirt_034.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_034.png,,,
eval_12,sporty_shoes_rw_003.png,..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_003.png,sporty,shoes,streetwear,sporty + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,,,,streetwear,streetwear_tshirt_014.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_014.png,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_12,sporty_shoes_rw_003.png,..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_003.png,sporty,shoes,streetwear,sporty + streetwear,new_multi_style,sporty + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,,,,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_13,streetwear_jacket_rw_005.png,..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_005.png,streetwear,jacket,formal,formal + gothic,old_single_style,formal,formal,formal_pants_014.png,..\dataset\cleaned\formal\pants\formal_pants_014.png,formal,formal_shoes_014.png,..\dataset\cleaned\formal\shoes\formal_shoes_014.png,formal,formal_tshirt_014.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_014.png,,,
eval_13,streetwear_jacket_rw_005.png,..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_005.png,streetwear,jacket,formal,formal + gothic,new_multi_style,formal + gothic,gothic,gothic_pants_034.png,..\dataset\cleaned\gothic\pants\gothic_pants_034.png,gothic,gothic_shoes_034.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_034.png,gothic,gothic_tshirt_034.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_034.png,,,
eval_14,streetwear_shoes_rw_002.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear,shoes,sporty,sporty + streetwear,old_single_style,sporty,sporty,sporty_pants_014.png,..\dataset\cleaned\sporty\pants\sporty_pants_014.png,,,,sporty,sporty_tshirt_014.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_014.png,sporty,sporty_jacket_014.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_014.png
eval_14,streetwear_shoes_rw_002.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear,shoes,sporty,sporty + streetwear,new_multi_style,sporty + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,,,,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_15,streetwear_shoes_rw_005.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_005.png,streetwear,shoes,gothic,gothic + streetwear,old_single_style,gothic,gothic,gothic_pants_014.png,..\dataset\cleaned\gothic\pants\gothic_pants_014.png,,,,gothic,gothic_tshirt_014.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_014.png,gothic,gothic_jacket_014.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_014.png
eval_15,streetwear_shoes_rw_005.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_005.png,streetwear,shoes,gothic,gothic + streetwear,new_multi_style,gothic + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,,,,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_16,streetwear_pants_rw_001.png,..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear,pants,streetwear,formal + streetwear,old_single_style,streetwear,,,,streetwear,streetwear_shoes_014.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_014.png,streetwear,streetwear_tshirt_014.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_014.png,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_16,streetwear_pants_rw_001.png,..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear,pants,streetwear,formal + streetwear,new_multi_style,formal + streetwear,,,,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
