input_image,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,style_correct,type_correct,recommended_styles,recommended_types,recommended_files,num_recommendations,same_actual_type_issue,recommendation_paths,structural_validity,style_consistency,visual_coherence,confidence_warning_usefulness,overall_quality,manual_notes
../dataset/real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic_pants_rw_001.png,gothic,pants,gothic,pants,0.4295786917209625,0.7528611421585083,style_uncertain,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'shoes', 'tshirt']","['gothic_jacket_020.png', 'gothic_shoes_027.png', 'gothic_tshirt_022.png']",3,False,"['..\\dataset\\cleaned\\gothic\\jacket\\gothic_jacket_020.png', '..\\dataset\\cleaned\\gothic\\shoes\\gothic_shoes_027.png', '..\\dataset\\cleaned\\gothic\\tshirt\\gothic_tshirt_022.png']",2,2,2,1,2,"Good gothic recommendation. The recommended jacket, shoes, and tshirt match the gothic style and fit the input pants well. The warning is a bit cautious because the final result is strong, but it is still understandable due to low type confidence."
../dataset/real_world_test\gothic\pants\gothic_pants_rw_002.png,gothic_pants_rw_002.png,gothic,pants,gothic,pants,0.9541753530502319,0.7361474633216858,reliable,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'shoes', 'tshirt']","['gothic_jacket_002.png', 'gothic_shoes_018.png', 'gothic_tshirt_037.png']",3,False,"['..\\dataset\\cleaned\\gothic\\jacket\\gothic_jacket_002.png', '..\\dataset\\cleaned\\gothic\\shoes\\gothic_shoes_018.png', '..\\dataset\\cleaned\\gothic\\tshirt\\gothic_tshirt_037.png']",2,2,2,2,2,"Very strong gothic recommendation. The input pants are matched with a gothic jacket, shoes, and tshirt. The style is consistent and the outfit works visually. The reliable status is appropriate."
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_001.png,gothic_shoes_rw_001.png,gothic,shoes,gothic,shoes,0.7410562634468079,0.6205840110778809,reliable,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'pants', 'tshirt']","['gothic_jacket_020.png', 'gothic_pants_033.png', 'gothic_tshirt_022.png']",3,False,"['..\\dataset\\cleaned\\gothic\\jacket\\gothic_jacket_020.png', '..\\dataset\\cleaned\\gothic\\pants\\gothic_pants_033.png', '..\\dataset\\cleaned\\gothic\\tshirt\\gothic_tshirt_022.png']",2,2,2,2,2,"Strong gothic recommendation. The system avoids recommending shoes and suggests jacket, pants, and tshirt. All items fit the gothic style and visually match the boots well."
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic_shoes_rw_002.png,gothic,shoes,streetwear,shoes,0.6916472911834717,0.8649625182151794,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'tshirt']","['streetwear_pants_047.png', 'streetwear_jacket_032.png', 'streetwear_tshirt_015.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_047.png', '..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_032.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_015.png']",2,0,0,0,0,"Structurally valid because it avoids shoes, but the style prediction is wrong. The input is clearly gothic, while the recommendations are streetwear. The system marks it as reliable, so the warning is misleading."
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_001.png,gothic_tshirt_rw_001.png,gothic,tshirt,streetwear,tshirt,0.7281699776649475,0.9417912364006042,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_040.png', 'streetwear_pants_028.png', 'streetwear_shoes_019.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_040.png', '..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_028.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_019.png']",2,1,1,0,1,"Structurally valid because it recommends jacket, pants, and shoes instead of tshirt. The predicted style is streetwear, but the input has a gothic/streetwear overlap. Some items work visually, especially the black jacket and shoes, but the overall style is not fully gothic. The reliable status is too confident."
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_002.png,gothic_tshirt_rw_002.png,gothic,tshirt,streetwear,tshirt,0.8214603066444397,0.9867812991142273,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_033.png', 'streetwear_pants_037.png', 'streetwear_shoes_029.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_033.png', '..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_037.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_029.png']",2,1,1,0,1,"Structurally valid because it avoids tshirt. The recommendations are streetwear, and the input has some streetwear elements, but the true style is gothic. The outfit is partially usable, but the style consistency is weaker. The reliable status is too confident because the style is wrong."
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_001.png,sporty_jacket_rw_001.png,sporty,jacket,formal,jacket,0.349811315536499,0.9789624810218811,style_uncertain,False,True,"['formal', 'formal', 'formal']","['tshirt', 'pants', 'shoes']","['formal_tshirt_050.png', 'formal_pants_014.png', 'formal_shoes_043.png']",3,False,"['..\\dataset\\cleaned\\formal\\tshirt\\formal_tshirt_050.png', '..\\dataset\\cleaned\\formal\\pants\\formal_pants_014.png', '..\\dataset\\cleaned\\formal\\shoes\\formal_shoes_043.png']",2,0,0,2,0,"Structurally valid because it recommends tshirt, pants, and shoes instead of jacket. However, the input is sporty and the system predicted formal, so the recommendations are from the wrong style. The style uncertainty warning is useful."
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_002.png,sporty_jacket_rw_002.png,sporty,jacket,streetwear,jacket,0.41041722893714905,0.549742579460144,style_and_type_uncertain,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_037.png', 'streetwear_tshirt_015.png', 'streetwear_shoes_038.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_037.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_015.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_038.png']",2,1,1,2,1,"Structurally valid because it avoids jacket. The system predicted streetwear instead of sporty, but the input has some streetwear overlap. The recommendations are partially usable, although the blue shoes fit less well. The warning is useful because both style and type are uncertain."
../dataset/real_world_test\sporty\pants\sporty_pants_rw_001.png,sporty_pants_rw_001.png,sporty,pants,sporty,pants,0.7147127389907837,0.8714689612388611,reliable,True,True,"['sporty', 'sporty', 'sporty']","['jacket', 'tshirt', 'shoes']","['sporty_jacket_047.png', 'sporty_tshirt_011.png', 'sporty_shoes_003.png']",3,False,"['..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_047.png', '..\\dataset\\cleaned\\sporty\\tshirt\\sporty_tshirt_011.png', '..\\dataset\\cleaned\\sporty\\shoes\\sporty_shoes_003.png']",2,2,1,2,1,"Structurally valid because it recommends jacket, tshirt, and shoes instead of pants. The sporty style is correct, but the pink jacket does not visually match the grey pants very well. The recommendation is partially useful overall."
../dataset/real_world_test\sporty\pants\sporty_pants_rw_002.png,sporty_pants_rw_002.png,sporty,pants,sporty,pants,0.2893950641155243,0.5020679831504822,style_and_type_uncertain,True,True,"['sporty', 'sporty', 'sporty']","['tshirt', 'jacket', 'shoes']","['sporty_tshirt_023.png', 'sporty_jacket_032.png', 'sporty_shoes_021.png']",3,False,"['..\\dataset\\cleaned\\sporty\\tshirt\\sporty_tshirt_023.png', '..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_032.png', '..\\dataset\\cleaned\\sporty\\shoes\\sporty_shoes_021.png']",2,2,2,2,2,"Strong sporty recommendation. The system recommends tshirt, jacket, and shoes instead of pants. The items match the sporty style and the outfit is visually coherent. The uncertainty warning is useful because both confidence values are low, even though the result is good."
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_001.png,sporty_shoes_rw_001.png,sporty,shoes,sporty,shoes,0.4815478026866913,0.7329859137535095,style_uncertain,True,True,"['sporty', 'sporty', 'sporty']","['pants', 'jacket', 'tshirt']","['sporty_pants_010.png', 'sporty_jacket_029.png', 'sporty_tshirt_013.png']",3,False,"['..\\dataset\\cleaned\\sporty\\pants\\sporty_pants_010.png', '..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_029.png', '..\\dataset\\cleaned\\sporty\\tshirt\\sporty_tshirt_013.png']",2,2,2,1,2,"Strong sporty recommendation. The system avoids recommending shoes and suggests pants, jacket, and tshirt. The items match the sporty style and create a coherent outfit. The warning is slightly cautious because the result is good."
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_002.png,sporty_shoes_rw_002.png,sporty,shoes,streetwear,shoes,0.5283182263374329,0.9421462416648865,style_uncertain,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'tshirt']","['streetwear_pants_047.png', 'streetwear_jacket_039.png', 'streetwear_tshirt_034.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_047.png', '..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_039.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_034.png']",2,1,1,2,1,"Structurally valid because it avoids shoes. The system predicted streetwear instead of sporty, but the recommendations still partly fit casual/sporty fashion. The outfit is usable, but not fully sporty. The style warning is useful."
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_001.png,sporty_tshirt_rw_001.png,sporty,tshirt,sporty,tshirt,0.6658940315246582,0.9042292237281799,reliable,True,True,"['sporty', 'sporty', 'sporty']","['pants', 'jacket', 'shoes']","['sporty_pants_038.png', 'sporty_jacket_030.png', 'sporty_shoes_010.png']",3,False,"['..\\dataset\\cleaned\\sporty\\pants\\sporty_pants_038.png', '..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_030.png', '..\\dataset\\cleaned\\sporty\\shoes\\sporty_shoes_010.png']",2,2,2,2,2,"Strong sporty recommendation. The predicted style and type are correct, and the recommended pants, jacket, and shoes fit the sporty style well. The reliable status is appropriate."
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_002.png,sporty_tshirt_rw_002.png,sporty,tshirt,formal,tshirt,0.4735856354236603,0.9313180446624756,style_uncertain,False,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'shoes']","['formal_jacket_018.png', 'formal_pants_004.png', 'formal_shoes_037.png']",3,False,"['..\\dataset\\cleaned\\formal\\jacket\\formal_jacket_018.png', '..\\dataset\\cleaned\\formal\\pants\\formal_pants_004.png', '..\\dataset\\cleaned\\formal\\shoes\\formal_shoes_037.png']",2,0,0,2,0,"Structurally valid because it recommends jacket, pants, and shoes instead of tshirt. However, the input is sporty and the system predicted formal, so the recommendations are from the wrong style. The style uncertainty warning is useful."
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_001.png,streetwear_jacket_rw_001.png,streetwear,jacket,streetwear,jacket,0.5649640560150146,0.6415799856185913,style_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['tshirt', 'pants', 'shoes']","['streetwear_tshirt_004.png', 'streetwear_pants_035.png', 'streetwear_shoes_048.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_004.png', '..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_035.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_048.png']",2,2,2,1,2,"Strong streetwear recommendation. The system avoids jacket and recommends tshirt, pants, and shoes. The items match the streetwear style and work well with the input. The style warning is slightly cautious because the result is good."
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_002.png,streetwear_jacket_rw_002.png,streetwear,jacket,streetwear,jacket,0.6398782730102539,0.5169292688369751,type_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'shoes', 'tshirt']","['streetwear_pants_035.png', 'streetwear_shoes_048.png', 'streetwear_tshirt_045.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_035.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_048.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_045.png']",2,2,2,1,2,"Strong streetwear recommendation. The system correctly avoids recommending another jacket and suggests pants, shoes, and tshirt. The recommended items match the streetwear style and visually fit the input outfit. The type uncertainty warning is slightly cautious, but understandable because type confidence is below the threshold."
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear_pants_rw_001.png,streetwear,pants,streetwear,pants,0.517084538936615,0.5224278569221497,style_and_type_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'tshirt', 'shoes']","['streetwear_jacket_044.png', 'streetwear_tshirt_010.png', 'streetwear_shoes_028.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_044.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_010.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_028.png']",2,2,2,2,2,"Strong streetwear recommendation. The input pants are matched with a denim jacket, graphic tshirt, and sneakers. The recommendations are structurally valid, style-consistent, and visually coherent. The uncertainty warning is useful because both confidence values are close to the threshold."
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_002.png,streetwear_pants_rw_002.png,streetwear,pants,streetwear,jacket,0.3453943729400635,0.8708671927452087,style_uncertain,True,False,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_002.png', 'streetwear_tshirt_007.png', 'streetwear_shoes_019.png']",3,True,"['..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_002.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_007.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_019.png']",0,2,2,2,1,"The recommended items visually fit streetwear, but there is a structural issue because the input is pants and the system predicted jacket, so it recommends pants again. This creates a same-actual-type issue. The style uncertainty warning is useful, but the overall result is only partially useful."
../dataset/real_world_test\streetwear\shoes\streetwear_shoes_rw_001.png,streetwear_shoes_rw_001.png,streetwear,shoes,streetwear,shoes,0.6185236573219299,0.8400910496711731,reliable,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'tshirt']","['streetwear_jacket_042.png', 'streetwear_pants_021.png', 'streetwear_tshirt_016.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_042.png', '..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_021.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_016.png']",2,2,1,2,2,"Structurally valid because the input is shoes and the system recommends jacket, pants, and tshirt. The items fit streetwear, especially the red graphic tshirt and loose pants. Visual coherence is mostly good, although the grey jacket is slightly plain compared to the red shoes."
../dataset/real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear_shoes_rw_002.png,streetwear,shoes,sporty,shoes,0.6223966479301453,0.8985650539398193,reliable,False,True,"['sporty', 'sporty', 'sporty']","['pants', 'jacket', 'tshirt']","['sporty_pants_010.png', 'sporty_jacket_029.png', 'sporty_tshirt_013.png']",3,False,"['..\\dataset\\cleaned\\sporty\\pants\\sporty_pants_010.png', '..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_029.png', '..\\dataset\\cleaned\\sporty\\tshirt\\sporty_tshirt_013.png']",2,1,1,0,1,"Structurally valid because it avoids shoes. However, the true style is streetwear and the system predicted sporty. The recommendations are usable as casual/sporty items, but they do not fully match the intended streetwear style. The reliable status is misleading because the style prediction is wrong."
../dataset/real_world_test\streetwear\tshirt\streetwear_tshirt_rw_001.png,streetwear_tshirt_rw_001.png,streetwear,tshirt,streetwear,tshirt,0.8631914258003235,0.803412675857544,reliable,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_033.png', 'streetwear_pants_028.png', 'streetwear_shoes_019.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_033.png', '..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_028.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_019.png']",2,2,2,2,2,"Strong streetwear recommendation. The system avoids tshirt and recommends jacket, pants, and shoes. The items match the streetwear style and visually fit the graphic oversized tshirt well."
../dataset/real_world_test\streetwear\tshirt\streetwear_tshirt_rw_002.png,streetwear_tshirt_rw_002.png,streetwear,tshirt,streetwear,tshirt,0.9783567786216736,0.996468186378479,reliable,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_033.png', 'streetwear_pants_037.png', 'streetwear_shoes_033.png']",3,False,"['..\\dataset\\cleaned\\streetwear\\jacket\\streetwear_jacket_033.png', '..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_037.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_033.png']",2,2,2,2,2,"Strong streetwear recommendation. The jacket, pants, and shoes all fit the streetwear style and work well with the input tshirt. The reliable status is appropriate."
