image_path,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,style_prediction_correct,type_prediction_correct,safeguard_status,style_confident,type_confident,warnings,recommended_types,recommended_styles,recommended_filenames,recommended_similarities,includes_same_actual_type,num_recommendations
../dataset/real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic_pants_rw_001.png,gothic,pants,streetwear,pants,0.5485396385192871,0.7528611421585083,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, shoes, tshirt",streetwear,"streetwear_jacket_041.png, streetwear_tshirt_004.png, streetwear_shoes_006.png","0.6620, 0.5931, 0.5753",False,3
../dataset/real_world_test\gothic\pants\gothic_pants_rw_002.png,gothic_pants_rw_002.png,gothic,pants,gothic,pants,0.7043329477310181,0.7361474633216858,True,True,reliable,True,True,,"jacket, shoes, tshirt",gothic,"gothic_jacket_002.png, gothic_shoes_018.png, gothic_tshirt_037.png","0.6951, 0.6656, 0.5987",False,3
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_001.png,gothic_shoes_rw_001.png,gothic,shoes,sporty,shoes,0.3974878787994385,0.6205840110778809,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",sporty,"sporty_jacket_035.png, sporty_pants_025.png, sporty_tshirt_013.png","0.6014, 0.5820, 0.5688",False,3
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic_shoes_rw_002.png,gothic,shoes,streetwear,shoes,0.5832306742668152,0.8649625182151794,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",streetwear,"streetwear_pants_047.png, streetwear_jacket_032.png, streetwear_tshirt_015.png","0.6943, 0.6636, 0.6496",False,3
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_001.png,gothic_tshirt_rw_001.png,gothic,tshirt,streetwear,tshirt,0.8981559872627258,0.9417912364006042,False,True,reliable,True,True,,"jacket, pants, shoes",streetwear,"streetwear_jacket_040.png, streetwear_pants_028.png, streetwear_shoes_019.png","0.7681, 0.6741, 0.6317",False,3
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_002.png,gothic_tshirt_rw_002.png,gothic,tshirt,streetwear,tshirt,0.8671866655349731,0.9867812991142273,False,True,reliable,True,True,,"jacket, pants, shoes",streetwear,"streetwear_jacket_033.png, streetwear_pants_037.png, streetwear_shoes_029.png","0.7661, 0.6843, 0.5458",False,3
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_001.png,sporty_jacket_rw_001.png,sporty,jacket,sporty,jacket,0.4270082712173462,0.9789624810218811,True,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"pants, shoes, tshirt",sporty,"sporty_pants_023.png, sporty_tshirt_011.png, sporty_shoes_026.png","0.7476, 0.6986, 0.5712",False,3
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_002.png,sporty_jacket_rw_002.png,sporty,jacket,streetwear,jacket,0.3925141990184784,0.549742579460144,False,True,style_and_type_uncertain,False,False,Style prediction confidence is low. Recommendations may use the wrong style category. | Clothing type prediction confidence is low. The system may exclude the wrong item type.,"pants, shoes, tshirt",streetwear,"streetwear_pants_037.png, streetwear_tshirt_015.png, streetwear_shoes_038.png","0.7412, 0.7271, 0.6000",False,3
../dataset/real_world_test\sporty\pants\sporty_pants_rw_001.png,sporty_pants_rw_001.png,sporty,pants,streetwear,pants,0.6933637857437134,0.8714689612388611,False,True,reliable,True,True,,"jacket, shoes, tshirt",streetwear,"streetwear_jacket_042.png, streetwear_tshirt_007.png, streetwear_shoes_019.png","0.6332, 0.5882, 0.5494",False,3
../dataset/real_world_test\sporty\pants\sporty_pants_rw_002.png,sporty_pants_rw_002.png,sporty,pants,sporty,pants,0.4673188030719757,0.5020679831504822,True,True,style_and_type_uncertain,False,False,Style prediction confidence is low. Recommendations may use the wrong style category. | Clothing type prediction confidence is low. The system may exclude the wrong item type.,"jacket, shoes, tshirt",sporty,"sporty_tshirt_023.png, sporty_jacket_032.png, sporty_shoes_021.png","0.5931, 0.5770, 0.5438",False,3
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_001.png,sporty_shoes_rw_001.png,sporty,shoes,streetwear,shoes,0.5997135639190674,0.7329859137535095,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",streetwear,"streetwear_pants_044.png, streetwear_tshirt_021.png, streetwear_jacket_042.png","0.5812, 0.5703, 0.5616",False,3
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_002.png,sporty_shoes_rw_002.png,sporty,shoes,streetwear,shoes,0.3997891843318939,0.9421462416648865,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",streetwear,"streetwear_pants_047.png, streetwear_jacket_039.png, streetwear_tshirt_034.png","0.6296, 0.6129, 0.5949",False,3
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_001.png,sporty_tshirt_rw_001.png,sporty,tshirt,sporty,tshirt,0.4879911541938782,0.9042292237281799,True,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, shoes",sporty,"sporty_pants_038.png, sporty_jacket_030.png, sporty_shoes_010.png","0.7344, 0.7304, 0.5443",False,3
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_002.png,sporty_tshirt_rw_002.png,sporty,tshirt,sporty,tshirt,0.6084641218185425,0.9313180446624756,True,True,reliable,True,True,,"jacket, pants, shoes",sporty,"sporty_pants_038.png, sporty_jacket_029.png, sporty_shoes_020.png","0.7243, 0.7118, 0.5538",False,3
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_001.png,streetwear_jacket_rw_001.png,streetwear,jacket,streetwear,jacket,0.9382966756820679,0.6415799856185913,True,True,reliable,True,True,,"pants, shoes, tshirt",streetwear,"streetwear_tshirt_004.png, streetwear_pants_035.png, streetwear_shoes_048.png","0.6135, 0.5765, 0.5461",False,3
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_002.png,streetwear_jacket_rw_002.png,streetwear,jacket,streetwear,jacket,0.6355205178260803,0.5169292688369751,True,True,type_uncertain,True,False,Clothing type prediction confidence is low. The system may exclude the wrong item type.,"pants, shoes, tshirt",streetwear,"streetwear_pants_035.png, streetwear_shoes_048.png, streetwear_tshirt_045.png","0.5862, 0.5705, 0.5445",False,3
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear_pants_rw_001.png,streetwear,pants,streetwear,pants,0.9269230365753174,0.5224278569221497,True,True,type_uncertain,True,False,Clothing type prediction confidence is low. The system may exclude the wrong item type.,"jacket, shoes, tshirt",streetwear,"streetwear_jacket_044.png, streetwear_tshirt_010.png, streetwear_shoes_028.png","0.6898, 0.6108, 0.5939",False,3
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_002.png,streetwear_pants_rw_002.png,streetwear,pants,streetwear,jacket,0.5938911437988281,0.8708671927452087,True,False,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"pants, shoes, tshirt",streetwear,"streetwear_pants_002.png, streetwear_tshirt_007.png, streetwear_shoes_019.png","0.6196, 0.5821, 0.5427",True,3
../dataset/real_world_test\streetwear\shoes\streetwear_shoes_rw_001.png,streetwear_shoes_rw_001.png,streetwear,shoes,formal,shoes,0.4180954694747925,0.8400910496711731,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",formal,"formal_jacket_018.png, formal_tshirt_050.png, formal_pants_036.png","0.6888, 0.6555, 0.6375",False,3
../dataset/real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear_shoes_rw_002.png,streetwear,shoes,streetwear,shoes,0.5523180961608887,0.8985650539398193,True,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",streetwear,"streetwear_pants_018.png, streetwear_jacket_037.png, streetwear_tshirt_001.png","0.5394, 0.5208, 0.5152",False,3
../dataset/real_world_test\streetwear\tshirt\streetwear_tshirt_rw_001.png,streetwear_tshirt_rw_001.png,streetwear,tshirt,streetwear,tshirt,0.6849294900894165,0.803412675857544,True,True,reliable,True,True,,"jacket, pants, shoes",streetwear,"streetwear_jacket_033.png, streetwear_pants_028.png, streetwear_shoes_019.png","0.6963, 0.6279, 0.6099",False,3
../dataset/real_world_test\streetwear\tshirt\streetwear_tshirt_rw_002.png,streetwear_tshirt_rw_002.png,streetwear,tshirt,streetwear,tshirt,0.9428468942642212,0.996468186378479,True,True,reliable,True,True,,"jacket, pants, shoes",streetwear,"streetwear_jacket_033.png, streetwear_pants_037.png, streetwear_shoes_033.png","0.7242, 0.5722, 0.5409",False,3
