input_image,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,style_correct,type_correct,recommended_styles,recommended_types,recommended_files,recommended_similarities,num_recommendations,same_actual_type_issue
..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic_pants_rw_001.png,gothic,pants,gothic,pants,0.4295786917209625,0.7528611421585083,style_uncertain,True,True,"['gothic', 'gothic', 'gothic']","['shoes', 'jacket', 'tshirt']","['gothic_shoes_013.png', 'gothic_jacket_001.png', 'gothic_tshirt_033.png']","[0.7737753987312317, 0.725913405418396, 0.705361545085907]",3,False
..\dataset\real_world_test\gothic\pants\gothic_pants_rw_002.png,gothic_pants_rw_002.png,gothic,pants,gothic,pants,0.9541753530502319,0.7361474633216858,reliable,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'shoes', 'tshirt']","['gothic_jacket_001.png', 'gothic_shoes_013.png', 'gothic_tshirt_034.png']","[0.7982244491577148, 0.7673779726028442, 0.7035970687866211]",3,False
..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_001.png,gothic_shoes_rw_001.png,gothic,shoes,gothic,shoes,0.7410562634468079,0.6205840110778809,reliable,True,True,"['gothic', 'gothic', 'gothic']","['pants', 'jacket', 'tshirt']","['gothic_pants_032.png', 'gothic_jacket_049.png', 'gothic_tshirt_022.png']","[0.675130307674408, 0.6341708898544312, 0.5299209356307983]",3,False
..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic_shoes_rw_002.png,gothic,shoes,streetwear,shoes,0.6916472911834717,0.8649625182151794,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'tshirt']","['streetwear_pants_010.png', 'streetwear_jacket_039.png', 'streetwear_tshirt_033.png']","[0.7110756635665894, 0.6667954921722412, 0.6458714008331299]",3,False
..\dataset\real_world_test\gothic\tshirt\gothic_tshirt_rw_001.png,gothic_tshirt_rw_001.png,gothic,tshirt,streetwear,tshirt,0.7281699776649475,0.9417912364006042,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'shoes']","['streetwear_pants_010.png', 'streetwear_jacket_036.png', 'streetwear_shoes_003.png']","[0.6841319799423218, 0.6832477450370789, 0.5903599262237549]",3,False
..\dataset\real_world_test\gothic\tshirt\gothic_tshirt_rw_002.png,gothic_tshirt_rw_002.png,gothic,tshirt,streetwear,tshirt,0.8214603066444397,0.9867812991142273,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_036.png', 'streetwear_pants_010.png', 'streetwear_shoes_003.png']","[0.7755648493766785, 0.7238523960113525, 0.6241790056228638]",3,False
..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_001.png,sporty_jacket_rw_001.png,sporty,jacket,formal,jacket,0.349811315536499,0.9789624810218811,style_uncertain,False,True,"['formal', 'formal', 'formal']","['tshirt', 'pants', 'shoes']","['formal_tshirt_050.png', 'formal_pants_001.png', 'formal_shoes_018.png']","[0.8187211751937866, 0.7995206713676453, 0.7524855136871338]",3,False
..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_002.png,sporty_jacket_rw_002.png,sporty,jacket,streetwear,jacket,0.41041722893714905,0.549742579460144,style_and_type_uncertain,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_037.png', 'streetwear_tshirt_038.png', 'streetwear_shoes_030.png']","[0.752763032913208, 0.7313011288642883, 0.6501783728599548]",3,False
..\dataset\real_world_test\sporty\pants\sporty_pants_rw_001.png,sporty_pants_rw_001.png,sporty,pants,sporty,pants,0.7147127389907837,0.8714689612388611,reliable,True,True,"['sporty', 'sporty', 'sporty']","['jacket', 'shoes', 'tshirt']","['sporty_jacket_006.png', 'sporty_shoes_027.png', 'sporty_tshirt_049.png']","[0.725272536277771, 0.6878199577331543, 0.6866372227668762]",3,False
..\dataset\real_world_test\sporty\pants\sporty_pants_rw_002.png,sporty_pants_rw_002.png,sporty,pants,sporty,pants,0.2893950641155243,0.5020679831504822,style_and_type_uncertain,True,True,"['sporty', 'sporty', 'sporty']","['jacket', 'tshirt', 'shoes']","['sporty_jacket_005.png', 'sporty_tshirt_049.png', 'sporty_shoes_023.png']","[0.6845090985298157, 0.6717971563339233, 0.5925709009170532]",3,False
..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_001.png,sporty_shoes_rw_001.png,sporty,shoes,sporty,shoes,0.4815478026866913,0.7329859137535095,style_uncertain,True,True,"['sporty', 'sporty', 'sporty']","['tshirt', 'jacket', 'pants']","['sporty_tshirt_013.png', 'sporty_jacket_029.png', 'sporty_pants_015.png']","[0.6488630175590515, 0.6055892109870911, 0.5992929935455322]",3,False
..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_002.png,sporty_shoes_rw_002.png,sporty,shoes,streetwear,shoes,0.5283182263374329,0.9421462416648865,style_uncertain,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'tshirt']","['streetwear_pants_009.png', 'streetwear_jacket_010.png', 'streetwear_tshirt_038.png']","[0.5708874464035034, 0.5528100728988647, 0.5158731937408447]",3,False
..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_001.png,sporty_tshirt_rw_001.png,sporty,tshirt,sporty,tshirt,0.6658940315246582,0.9042292237281799,reliable,True,True,"['sporty', 'sporty', 'sporty']","['jacket', 'pants', 'shoes']","['sporty_jacket_029.png', 'sporty_pants_042.png', 'sporty_shoes_002.png']","[0.7861868143081665, 0.7752650380134583, 0.6655312180519104]",3,False
..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_002.png,sporty_tshirt_rw_002.png,sporty,tshirt,formal,tshirt,0.4735856354236603,0.9313180446624756,style_uncertain,False,True,"['formal', 'formal', 'formal']","['pants', 'jacket', 'shoes']","['formal_pants_013.png', 'formal_jacket_026.png', 'formal_shoes_047.png']","[0.7249771356582642, 0.7244164347648621, 0.6754169464111328]",3,False
..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_001.png,streetwear_jacket_rw_001.png,streetwear,jacket,streetwear,jacket,0.5649640560150146,0.6415799856185913,style_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['tshirt', 'pants', 'shoes']","['streetwear_tshirt_015.png', 'streetwear_pants_031.png', 'streetwear_shoes_001.png']","[0.6886510848999023, 0.6168215870857239, 0.596248209476471]",3,False
..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_002.png,streetwear_jacket_rw_002.png,streetwear,jacket,streetwear,jacket,0.6398782730102539,0.5169292688369751,type_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['tshirt', 'shoes', 'pants']","['streetwear_tshirt_015.png', 'streetwear_shoes_006.png', 'streetwear_pants_003.png']","[0.6490972638130188, 0.5814632177352905, 0.5704008340835571]",3,False
..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear_pants_rw_001.png,streetwear,pants,streetwear,pants,0.517084538936615,0.5224278569221497,style_and_type_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['tshirt', 'jacket', 'shoes']","['streetwear_tshirt_023.png', 'streetwear_jacket_003.png', 'streetwear_shoes_004.png']","[0.7008402943611145, 0.6880484223365784, 0.5981460213661194]",3,False
..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_002.png,streetwear_pants_rw_002.png,streetwear,pants,streetwear,jacket,0.3453943729400635,0.8708671927452087,style_uncertain,True,False,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_007.png', 'streetwear_tshirt_006.png', 'streetwear_shoes_039.png']","[0.6530554890632629, 0.6317070722579956, 0.56303870677948]",3,True
..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_001.png,streetwear_shoes_rw_001.png,streetwear,shoes,streetwear,shoes,0.6185236573219299,0.8400910496711731,reliable,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'tshirt', 'pants']","['streetwear_jacket_018.png', 'streetwear_tshirt_015.png', 'streetwear_pants_026.png']","[0.650773286819458, 0.6471685171127319, 0.6219630837440491]",3,False
..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear_shoes_rw_002.png,streetwear,shoes,sporty,shoes,0.6223966479301453,0.8985650539398193,reliable,False,True,"['sporty', 'sporty', 'sporty']","['pants', 'jacket', 'tshirt']","['sporty_pants_019.png', 'sporty_jacket_009.png', 'sporty_tshirt_020.png']","[0.6339830160140991, 0.5862784385681152, 0.5561869144439697]",3,False
..\dataset\real_world_test\streetwear\tshirt\streetwear_tshirt_rw_001.png,streetwear_tshirt_rw_001.png,streetwear,tshirt,streetwear,tshirt,0.8631914258003235,0.803412675857544,reliable,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_003.png', 'streetwear_pants_018.png', 'streetwear_shoes_002.png']","[0.6199546456336975, 0.56769859790802, 0.5015400648117065]",3,False
..\dataset\real_world_test\streetwear\tshirt\streetwear_tshirt_rw_002.png,streetwear_tshirt_rw_002.png,streetwear,tshirt,streetwear,tshirt,0.9783567786216736,0.996468186378479,reliable,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_036.png', 'streetwear_pants_020.png', 'streetwear_shoes_039.png']","[0.642363429069519, 0.584541380405426, 0.514729917049408]",3,False
