evaluation_id,recommendation_mode,true_style,input_type,predicted_main_style,multi_label_prediction,allowed_styles,style_match_score,type_match_score,visual_coherence_score,overall_quality_score,manual_notes,input_filename,recommended_items,visual_sheet_path,input_image_path
shoes: gothic - gothic_shoes_013.png | CLIP similarity: 0.438
tshirt: formal - formal_tshirt_004.png | CLIP similarity: 0.397",..\results\multilabel_clip_recommendation_ranking\manual_review\visual_clip_comparison_sheets\eval_13_random_vs_clip.png,..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_005.png
eval_14,new_multi_style_clip_ranked,streetwear,shoes,sporty,sporty + streetwear,sporty + streetwear,,,,,,streetwear_shoes_rw_002.png,"jacket: sporty - sporty_jacket_037.png | CLIP similarity: 0.387
pants: sporty - sporty_pants_019.png | CLIP similarity: 0.436
tshirt: sporty - sporty_tshirt_010.png | CLIP similarity: 0.395",..\results\multilabel_clip_recommendation_ranking\manual_review\visual_clip_comparison_sheets\eval_14_random_vs_clip.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png
eval_15,new_multi_style_clip_ranked,streetwear,shoes,gothic,gothic + streetwear,gothic + streetwear,,,,,,streetwear_shoes_rw_005.png,"jacket: streetwear - streetwear_jacket_048.png | CLIP similarity: 0.445
pants: gothic - gothic_pants_048.png | CLIP similarity: 0.441
tshirt: streetwear - streetwear_tshirt_007.png | CLIP similarity: 0.367",..\results\multilabel_clip_recommendation_ranking\manual_review\visual_clip_comparison_sheets\eval_15_random_vs_clip.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_005.png
eval_16,new_multi_style_clip_ranked,streetwear,pants,streetwear,formal + streetwear,formal + streetwear,,,,,,streetwear_pants_rw_001.png,"jacket: streetwear - streetwear_jacket_044.png | CLIP similarity: 0.499
shoes: streetwear - streetwear_shoes_002.png | CLIP similarity: 0.394
tshirt: streetwear - streetwear_tshirt_006.png | CLIP similarity: 0.557",..\results\multilabel_clip_recommendation_ranking\manual_review\visual_clip_comparison_sheets\eval_16_random_vs_clip.png,..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png
