allowed_styles,evaluation_id,filename,input_image_path,input_type,jacket_clip_similarity,jacket_filename,jacket_image_path,jacket_style,pants_clip_similarity,pants_filename,pants_image_path,pants_style,predicted_main_style,predicted_styles_threshold_fallback,recommendation_mode,shoes_clip_similarity,shoes_filename,shoes_image_path,shoes_style,true_style,tshirt_clip_similarity,tshirt_filename,tshirt_image_path,tshirt_style
formal + sporty,eval_11,sporty_jacket_rw_005.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_005.png,jacket,,,,,0.5551836490631104,sporty_pants_035.png,..\dataset\cleaned\sporty\pants\sporty_pants_035.png,sporty,formal,formal + sporty,new_multi_style_clip_ranked,0.4290419816970825,sporty_shoes_049.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_049.png,sporty,sporty,0.5074727535247803,sporty_tshirt_006.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_006.png,sporty
formal + sporty,eval_11,sporty_jacket_rw_005.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_005.png,jacket,,,,,,sporty_pants_034.png,..\dataset\cleaned\sporty\pants\sporty_pants_034.png,sporty,formal,formal + sporty,previous_random_multi_style,,sporty_shoes_034.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_034.png,sporty,sporty,,sporty_tshirt_034.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_034.png,sporty
sporty + streetwear,eval_12,sporty_shoes_rw_003.png,..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_003.png,shoes,0.2894306778907776,streetwear_jacket_003.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_003.png,streetwear,0.2957559823989868,sporty_pants_034.png,..\dataset\cleaned\sporty\pants\sporty_pants_034.png,sporty,streetwear,sporty + streetwear,new_multi_style_clip_ranked,,,,,sporty,0.2758966088294983,sporty_tshirt_029.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_029.png,sporty
sporty + streetwear,eval_12,sporty_shoes_rw_003.png,..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_003.png,shoes,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear,sporty + streetwear,previous_random_multi_style,,,,,sporty,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
formal + gothic,eval_13,streetwear_jacket_rw_005.png,..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_005.png,jacket,,,,,0.4278828501701355,gothic_pants_010.png,..\dataset\cleaned\gothic\pants\gothic_pants_010.png,gothic,formal,formal + gothic,new_multi_style_clip_ranked,0.4378184378147125,gothic_shoes_013.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_013.png,gothic,streetwear,0.3966730237007141,formal_tshirt_004.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_004.png,formal
formal + gothic,eval_13,streetwear_jacket_rw_005.png,..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_005.png,jacket,,,,,,gothic_pants_034.png,..\dataset\cleaned\gothic\pants\gothic_pants_034.png,gothic,formal,formal + gothic,previous_random_multi_style,,gothic_shoes_034.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_034.png,gothic,streetwear,,gothic_tshirt_034.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_034.png,gothic
sporty + streetwear,eval_14,streetwear_shoes_rw_002.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,shoes,0.38668107986450195,sporty_jacket_037.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_037.png,sporty,0.436326801776886,sporty_pants_019.png,..\dataset\cleaned\sporty\pants\sporty_pants_019.png,sporty,sporty,sporty + streetwear,new_multi_style_clip_ranked,,,,,streetwear,0.39492470026016235,sporty_tshirt_010.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_010.png,sporty
sporty + streetwear,eval_14,streetwear_shoes_rw_002.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,shoes,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,sporty,sporty + streetwear,previous_random_multi_style,,,,,streetwear,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
gothic + streetwear,eval_15,streetwear_shoes_rw_005.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_005.png,shoes,0.4449588358402252,streetwear_jacket_048.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_048.png,streetwear,0.4407837688922882,gothic_pants_048.png,..\dataset\cleaned\gothic\pants\gothic_pants_048.png,gothic,gothic,gothic + streetwear,new_multi_style_clip_ranked,,,,,streetwear,0.36676526069641113,streetwear_tshirt_007.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_007.png,streetwear
gothic + streetwear,eval_15,streetwear_shoes_rw_005.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_005.png,shoes,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,gothic,gothic + streetwear,previous_random_multi_style,,,,,streetwear,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
formal + streetwear,eval_16,streetwear_pants_rw_001.png,..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,pants,0.4988090991973877,streetwear_jacket_044.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_044.png,streetwear,,,,,streetwear,formal + streetwear,new_multi_style_clip_ranked,0.3939247131347656,streetwear_shoes_002.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_002.png,streetwear,streetwear,0.5573024153709412,streetwear_tshirt_006.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_006.png,streetwear
formal + streetwear,eval_16,streetwear_pants_rw_001.png,..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,pants,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,,,,streetwear,formal + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,streetwear,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
